image_id      True_Positive       Precision                    Recall
000093.jpg             1          1.0                           0.02702702702702703
000114.jpg             2          1.0                           0.05263157894736842
000131.jpg             3          1.0                           0.07692307692307693
000149.jpg             4          1.0                           0.1
000176.jpg             5          1.0                           0.12195121951219512
000180.jpg             6          1.0                           0.14285714285714285
000207.jpg             7          1.0                           0.16279069767441862
000277.jpg             8          1.0                           0.18181818181818182
000280.jpg             9          1.0                           0.2
000306.jpg             10          1.0                           0.21739130434782608
000457.jpg             11          1.0                           0.23404255319148937
000461.jpg             12          1.0                           0.25
000486.jpg             13          1.0                           0.2653061224489796
000501.jpg             14          1.0                           0.28
000565.jpg             15          1.0                           0.29411764705882354
000625.jpg             16          1.0                           0.3076923076923077
000654.jpg             17          1.0                           0.32075471698113206
000678.jpg             18          1.0                           0.3333333333333333
000711.jpg             19          1.0                           0.34545454545454546
000724.jpg             20          1.0                           0.35714285714285715
000727.jpg             21          1.0                           0.3684210526315789
000772.jpg             22          1.0                           0.3793103448275862
000795.jpg             23          1.0                           0.3898305084745763
000825.jpg             24          1.0                           0.4
000833.jpg             25          1.0                           0.4098360655737705
000875.jpg             26          1.0                           0.41935483870967744
000876.jpg             27          1.0                           0.42857142857142855
000957.jpg             28          1.0                           0.4375
000962.jpg             29          1.0                           0.4461538461538462
000985.jpg             30          1.0                           0.45454545454545453
000987.jpg             31          1.0                           0.4626865671641791
000988.jpg             32          1.0                           0.47058823529411764
000989.jpg             33          1.0                           0.4782608695652174
000991.jpg             34          1.0                           0.4857142857142857
001004.jpg             35          1.0                           0.49295774647887325
001053.jpg             36          1.0                           0.5
001084.jpg             37          1.0                           0.5068493150684932
001085.jpg             38          1.0                           0.5135135135135135
001145.jpg             39          1.0                           0.52
001276.jpg             39          0.975                           0.52
001313.jpg             40          0.975609756097561                           0.5263157894736842
001319.jpg             41          0.9761904761904762                           0.5324675324675324
001321.jpg             42          0.9767441860465116                           0.5384615384615384
001367.jpg             43          0.9772727272727273                           0.5443037974683544
001382.jpg             44          0.9777777777777777                           0.55
001414.jpg             45          0.9782608695652174                           0.5555555555555556
001508.jpg             46          0.9787234042553191                           0.5609756097560976
001568.jpg             47          0.9791666666666666                           0.5662650602409639
001571.jpg             48          0.9795918367346939                           0.5714285714285714
